relics_tier,relics_relicName,relics_state,relics_rewards_0_id,relics_rewards_0_itemName,relics_rewards_0_rarity,relics_rewards_0_chance,relics_rewards_1_id,relics_rewards_1_itemName,relics_rewards_1_rarity,relics_rewards_1_chance,relics_rewards_2_id,relics_rewards_2_itemName,relics_rewards_2_rarity,relics_rewards_2_chance,relics_rewards_3_id,relics_rewards_3_itemName,relics_rewards_3_rarity,relics_rewards_3_chance,relics_rewards_4_id,relics_rewards_4_itemName,relics_rewards_4_rarity,relics_rewards_4_chance,relics_rewards_5_id,relics_rewards_5_itemName,relics_rewards_5_rarity,relics_rewards_5_chance,relics_id
Axi,A1,Intact,6733cc5298452209aa29dd72027c7df1,Akstiletto Prime Barrel,Uncommon,11,6ba52f6e23e8287537282806067bf7b8,Trinity Prime Systems Blueprint,Uncommon,25.33,be65d90227adf6db51fc87cf9192e557,Fragor Prime Head,Uncommon,25.33,c6cbe7d5d07910d668b0f357c89fef35,Dual Kamas Prime Handle,Uncommon,11,c534d3c6c7c29b9891620a6411234912,Braton Prime Stock,Uncommon,25.33,91a0180400d23eae4a8f6e4d1dbfb1d6,Nikana Prime Blueprint,Rare,2,4e4d817f8c2d887316c6d8add253403e
Axi,A1,Exceptional,6733cc5298452209aa29dd72027c7df1,Akstiletto Prime Barrel,Uncommon,13,6ba52f6e23e8287537282806067bf7b8,Trinity Prime Systems Blueprint,Uncommon,23.33,be65d90227adf6db51fc87cf9192e557,Fragor Prime Head,Uncommon,23.33,c6cbe7d5d07910d668b0f357c89fef35,Dual Kamas Prime Handle,Uncommon,13,c534d3c6c7c29b9891620a6411234912,Braton Prime Stock,Uncommon,23.33,91a0180400d23eae4a8f6e4d1dbfb1d6,Nikana Prime Blueprint,Rare,4,cfa4088e78509e3bf0a5e42f88caa087
Axi,A1,Flawless,6733cc5298452209aa29dd72027c7df1,Akstiletto Prime Barrel,Uncommon,17,6ba52f6e23e8287537282806067bf7b8,Trinity Prime Systems Blueprint,Uncommon,20,be65d90227adf6db51fc87cf9192e557,Fragor Prime Head,Uncommon,20,c6cbe7d5d07910d668b0f357c89fef35,Dual Kamas Prime Handle,Uncommon,17,c534d3c6c7c29b9891620a6411234912,Braton Prime Stock,Uncommon,20,91a0180400d23eae4a8f6e4d1dbfb1d6,Nikana Prime Blueprint,Rare,6,027d5cc0bb13b6934a325880afe57c26
Axi,A1,Radiant,6733cc5298452209aa29dd72027c7df1,Akstiletto Prime Barrel,Uncommon,20,6ba52f6e23e8287537282806067bf7b8,Trinity Prime Systems Blueprint,Uncommon,16.67,be65d90227adf6db51fc87cf9192e557,Fragor Prime Head,Uncommon,16.67,c6cbe7d5d07910d668b0f357c89fef35,Dual Kamas Prime Handle,Uncommon,20,c534d3c6c7c29b9891620a6411234912,Braton Prime Stock,Uncommon,16.67,91a0180400d23eae4a8f6e4d1dbfb1d6,Nikana Prime Blueprint,Uncommon,10,bb4a71c60de398558c79ccb0b935a2cc
Axi,A10,Intact,c5d02f6d5af57ba8970cc06dab587b3a,Aksomati Prime Link,Rare,2,a00aa39b585a51f46205ded5c971e7f5,Wukong Prime Chassis Blueprint,Uncommon,11,6b65b2d83a1cdc91c169e5c3949fb1f5,Paris Prime Grip,Uncommon,11,bd60f5414db72b77df25741fb54ccad1,Akbronco Prime Blueprint,Uncommon,25.33,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,25.33,b15f557d29e045faab0929e5d8d5c22a,Stradavar Prime Receiver,Uncommon,25.33,39b5ff073769a1867186af37e5cda4e7
Axi,A10,Exceptional,c5d02f6d5af57ba8970cc06dab587b3a,Aksomati Prime Link,Rare,4,a00aa39b585a51f46205ded5c971e7f5,Wukong Prime Chassis Blueprint,Uncommon,13,6b65b2d83a1cdc91c169e5c3949fb1f5,Paris Prime Grip,Uncommon,13,bd60f5414db72b77df25741fb54ccad1,Akbronco Prime Blueprint,Uncommon,23.33,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,23.33,b15f557d29e045faab0929e5d8d5c22a,Stradavar Prime Receiver,Uncommon,23.33,4d72a94ddcb3362c5672ac17cf3006db
Axi,A10,Flawless,c5d02f6d5af57ba8970cc06dab587b3a,Aksomati Prime Link,Rare,6,a00aa39b585a51f46205ded5c971e7f5,Wukong Prime Chassis Blueprint,Uncommon,17,6b65b2d83a1cdc91c169e5c3949fb1f5,Paris Prime Grip,Uncommon,17,bd60f5414db72b77df25741fb54ccad1,Akbronco Prime Blueprint,Uncommon,20,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,20,b15f557d29e045faab0929e5d8d5c22a,Stradavar Prime Receiver,Uncommon,20,a08a39559da122974ebf7f7846c64e99
Axi,A10,Radiant,c5d02f6d5af57ba8970cc06dab587b3a,Aksomati Prime Link,Uncommon,10,a00aa39b585a51f46205ded5c971e7f5,Wukong Prime Chassis Blueprint,Uncommon,20,6b65b2d83a1cdc91c169e5c3949fb1f5,Paris Prime Grip,Uncommon,20,bd60f5414db72b77df25741fb54ccad1,Akbronco Prime Blueprint,Uncommon,16.67,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,16.67,b15f557d29e045faab0929e5d8d5c22a,Stradavar Prime Receiver,Uncommon,16.67,5ef09a3fa63ccc69aa58ac0b3d9db477
Axi,A11,Intact,21a4957d453af8523a0a26e84872b4dc,Atlas Prime Neuroptics Blueprint,Rare,2,3c9cb4d754c49ff3e252effc0b26ad90,Pangolin Prime Blade,Uncommon,11,11a663b5b2b3833b03469d8228b406e3,Wukong Prime Systems Blueprint,Uncommon,11,99b4c1b335006fd383a17fc6eec4017d,Zhuge Prime String,Uncommon,25.33,3f4950670b069625ddf79ce92de425a5,Fang Prime Blueprint,Uncommon,25.33,98b23d357d7a99755cc011c34bb60482,Burston Prime Receiver,Uncommon,25.33,d496cdba6794b38cff4f5fa8202191db
Axi,A11,Exceptional,21a4957d453af8523a0a26e84872b4dc,Atlas Prime Neuroptics Blueprint,Rare,4,3c9cb4d754c49ff3e252effc0b26ad90,Pangolin Prime Blade,Uncommon,13,11a663b5b2b3833b03469d8228b406e3,Wukong Prime Systems Blueprint,Uncommon,13,99b4c1b335006fd383a17fc6eec4017d,Zhuge Prime String,Uncommon,23.33,3f4950670b069625ddf79ce92de425a5,Fang Prime Blueprint,Uncommon,23.33,98b23d357d7a99755cc011c34bb60482,Burston Prime Receiver,Uncommon,23.33,7f7ba53b05b34a6b78fa41cbb7a37b7b
Axi,A11,Flawless,21a4957d453af8523a0a26e84872b4dc,Atlas Prime Neuroptics Blueprint,Rare,6,3c9cb4d754c49ff3e252effc0b26ad90,Pangolin Prime Blade,Uncommon,17,11a663b5b2b3833b03469d8228b406e3,Wukong Prime Systems Blueprint,Uncommon,17,99b4c1b335006fd383a17fc6eec4017d,Zhuge Prime String,Uncommon,20,3f4950670b069625ddf79ce92de425a5,Fang Prime Blueprint,Uncommon,20,98b23d357d7a99755cc011c34bb60482,Burston Prime Receiver,Uncommon,20,ea66763328a6c3b608897ed5b4ca6ae9
Axi,A11,Radiant,21a4957d453af8523a0a26e84872b4dc,Atlas Prime Neuroptics Blueprint,Uncommon,10,3c9cb4d754c49ff3e252effc0b26ad90,Pangolin Prime Blade,Uncommon,20,11a663b5b2b3833b03469d8228b406e3,Wukong Prime Systems Blueprint,Uncommon,20,99b4c1b335006fd383a17fc6eec4017d,Zhuge Prime String,Uncommon,16.67,3f4950670b069625ddf79ce92de425a5,Fang Prime Blueprint,Uncommon,16.67,98b23d357d7a99755cc011c34bb60482,Burston Prime Receiver,Uncommon,16.67,d77e6229ed7051410b05dbbbb1b3af93
Axi,A12,Intact,95d1c84ac9dadf1ecdbfdba6338ee271,Akbolto Prime Receiver,Rare,2,8cc7b9381061e155022945f394e32ab5,Helios Prime Systems,Uncommon,11,79dd5294e67851c8fb0daf6b57fa4be5,Banshee Prime Blueprint,Uncommon,11,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,25.33,2d15dadf5de7940a4aaafe084d7ea652,Mirage Prime Chassis Blueprint,Uncommon,25.33,17cd91823cbd56d98a99f7fe5ced5a64,Kogake Prime Boot,Uncommon,25.33,e5b9b31b33364b53a5414fefd4b7bbda
Axi,A12,Exceptional,95d1c84ac9dadf1ecdbfdba6338ee271,Akbolto Prime Receiver,Rare,4,8cc7b9381061e155022945f394e32ab5,Helios Prime Systems,Uncommon,13,79dd5294e67851c8fb0daf6b57fa4be5,Banshee Prime Blueprint,Uncommon,13,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,23.33,2d15dadf5de7940a4aaafe084d7ea652,Mirage Prime Chassis Blueprint,Uncommon,23.33,17cd91823cbd56d98a99f7fe5ced5a64,Kogake Prime Boot,Uncommon,23.33,f161dd8f463b4d2ee41648812281414d
Axi,A12,Flawless,95d1c84ac9dadf1ecdbfdba6338ee271,Akbolto Prime Receiver,Rare,6,8cc7b9381061e155022945f394e32ab5,Helios Prime Systems,Uncommon,17,79dd5294e67851c8fb0daf6b57fa4be5,Banshee Prime Blueprint,Uncommon,17,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,20,2d15dadf5de7940a4aaafe084d7ea652,Mirage Prime Chassis Blueprint,Uncommon,20,17cd91823cbd56d98a99f7fe5ced5a64,Kogake Prime Boot,Uncommon,20,d5d62081aeb002aa3eef6fa9d6f45430
Axi,A12,Radiant,95d1c84ac9dadf1ecdbfdba6338ee271,Akbolto Prime Receiver,Uncommon,10,8cc7b9381061e155022945f394e32ab5,Helios Prime Systems,Uncommon,20,79dd5294e67851c8fb0daf6b57fa4be5,Banshee Prime Blueprint,Uncommon,20,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,16.67,2d15dadf5de7940a4aaafe084d7ea652,Mirage Prime Chassis Blueprint,Uncommon,16.67,17cd91823cbd56d98a99f7fe5ced5a64,Kogake Prime Boot,Uncommon,16.67,a383db0b70ff6cd6e044b93411a549b1
Axi,A13,Intact,c5d02f6d5af57ba8970cc06dab587b3a,Aksomati Prime Link,Rare,2,fac2551e31071237c99c585dbb387b2b,Orthos Prime Blueprint,Uncommon,11,3c9cb4d754c49ff3e252effc0b26ad90,Pangolin Prime Blade,Uncommon,11,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,25.33,98b23d357d7a99755cc011c34bb60482,Burston Prime Receiver,Uncommon,25.33,321769a9bb9a16bf1cd3ff518fc5ae3d,Inaros Prime Systems Blueprint,Uncommon,25.33,44901bfd65d6241991ef928bbb7ec030
Axi,A13,Exceptional,c5d02f6d5af57ba8970cc06dab587b3a,Aksomati Prime Link,Rare,4,fac2551e31071237c99c585dbb387b2b,Orthos Prime Blueprint,Uncommon,13,3c9cb4d754c49ff3e252effc0b26ad90,Pangolin Prime Blade,Uncommon,13,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,23.33,98b23d357d7a99755cc011c34bb60482,Burston Prime Receiver,Uncommon,23.33,321769a9bb9a16bf1cd3ff518fc5ae3d,Inaros Prime Systems Blueprint,Uncommon,23.33,942763be50ee0ac5648feccebb9294b5
Axi,A13,Flawless,c5d02f6d5af57ba8970cc06dab587b3a,Aksomati Prime Link,Rare,6,fac2551e31071237c99c585dbb387b2b,Orthos Prime Blueprint,Uncommon,17,3c9cb4d754c49ff3e252effc0b26ad90,Pangolin Prime Blade,Uncommon,17,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,20,98b23d357d7a99755cc011c34bb60482,Burston Prime Receiver,Uncommon,20,321769a9bb9a16bf1cd3ff518fc5ae3d,Inaros Prime Systems Blueprint,Uncommon,20,535086bffef232c1e6697772ba1a640f
Axi,A13,Radiant,c5d02f6d5af57ba8970cc06dab587b3a,Aksomati Prime Link,Uncommon,10,fac2551e31071237c99c585dbb387b2b,Orthos Prime Blueprint,Uncommon,20,3c9cb4d754c49ff3e252effc0b26ad90,Pangolin Prime Blade,Uncommon,20,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,16.67,98b23d357d7a99755cc011c34bb60482,Burston Prime Receiver,Uncommon,16.67,321769a9bb9a16bf1cd3ff518fc5ae3d,Inaros Prime Systems Blueprint,Uncommon,16.67,3ab311326906cc59a6e4cd3672bce793
Axi,A14,Intact,c5d02f6d5af57ba8970cc06dab587b3a,Aksomati Prime Link,Rare,2,f8bdaaa6efa909202babdf224be55943,Karyst Prime Handle,Uncommon,11,2ab6b2cef60e8f5646963d39e7976bdd,Nidus Prime Blueprint,Uncommon,11,67d956133aebcf5ab17d29fef1c5d5a1,Zakti Prime Receiver,Uncommon,25.33,fa5971ba347995f7ffb5ad78a07107ca,Paris Prime Blueprint,Uncommon,25.33,a10ac124f165f0def63eca15869ed45b,Volnus Prime Blueprint,Uncommon,25.33,264507c4f271427c16178a875553aabe
Axi,A14,Exceptional,c5d02f6d5af57ba8970cc06dab587b3a,Aksomati Prime Link,Rare,4,f8bdaaa6efa909202babdf224be55943,Karyst Prime Handle,Uncommon,13,2ab6b2cef60e8f5646963d39e7976bdd,Nidus Prime Blueprint,Uncommon,13,67d956133aebcf5ab17d29fef1c5d5a1,Zakti Prime Receiver,Uncommon,23.33,fa5971ba347995f7ffb5ad78a07107ca,Paris Prime Blueprint,Uncommon,23.33,a10ac124f165f0def63eca15869ed45b,Volnus Prime Blueprint,Uncommon,23.33,ff9a9e5c3861754c61f8fd9fa01e8867
Axi,A14,Flawless,c5d02f6d5af57ba8970cc06dab587b3a,Aksomati Prime Link,Rare,6,f8bdaaa6efa909202babdf224be55943,Karyst Prime Handle,Uncommon,17,2ab6b2cef60e8f5646963d39e7976bdd,Nidus Prime Blueprint,Uncommon,17,67d956133aebcf5ab17d29fef1c5d5a1,Zakti Prime Receiver,Uncommon,20,fa5971ba347995f7ffb5ad78a07107ca,Paris Prime Blueprint,Uncommon,20,a10ac124f165f0def63eca15869ed45b,Volnus Prime Blueprint,Uncommon,20,061114f3c983d0934b07e16ab4a43103
Axi,A14,Radiant,c5d02f6d5af57ba8970cc06dab587b3a,Aksomati Prime Link,Uncommon,10,f8bdaaa6efa909202babdf224be55943,Karyst Prime Handle,Uncommon,20,2ab6b2cef60e8f5646963d39e7976bdd,Nidus Prime Blueprint,Uncommon,20,67d956133aebcf5ab17d29fef1c5d5a1,Zakti Prime Receiver,Uncommon,16.67,fa5971ba347995f7ffb5ad78a07107ca,Paris Prime Blueprint,Uncommon,16.67,a10ac124f165f0def63eca15869ed45b,Volnus Prime Blueprint,Uncommon,16.67,531723538e72a7b89cbc6cbd13e50549
Axi,A15,Intact,c5d02f6d5af57ba8970cc06dab587b3a,Aksomati Prime Link,Rare,2,41e236c19ff96b7b3959ad379a875002,Oberon Prime Systems Blueprint,Uncommon,11,8281d6c1c64a8b2da5fbae64a383a835,Ivara Prime Systems Blueprint,Uncommon,11,e6b88651eb4e74d95ba2469b870d9f1a,Baza Prime Receiver,Uncommon,25.33,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,25.33,89ce412f49ed109ffe523bf084d81074,Sybaris Prime Stock,Uncommon,25.33,a902798ef5008b77918c3b31a3f9f8c2
Axi,A15,Exceptional,c5d02f6d5af57ba8970cc06dab587b3a,Aksomati Prime Link,Rare,4,41e236c19ff96b7b3959ad379a875002,Oberon Prime Systems Blueprint,Uncommon,13,8281d6c1c64a8b2da5fbae64a383a835,Ivara Prime Systems Blueprint,Uncommon,13,e6b88651eb4e74d95ba2469b870d9f1a,Baza Prime Receiver,Uncommon,23.33,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,23.33,89ce412f49ed109ffe523bf084d81074,Sybaris Prime Stock,Uncommon,23.33,3ebb442dc8ef3c7132a160c9342bc046
Axi,A15,Flawless,c5d02f6d5af57ba8970cc06dab587b3a,Aksomati Prime Link,Rare,6,41e236c19ff96b7b3959ad379a875002,Oberon Prime Systems Blueprint,Uncommon,17,8281d6c1c64a8b2da5fbae64a383a835,Ivara Prime Systems Blueprint,Uncommon,17,e6b88651eb4e74d95ba2469b870d9f1a,Baza Prime Receiver,Uncommon,20,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,20,89ce412f49ed109ffe523bf084d81074,Sybaris Prime Stock,Uncommon,20,92188477ec670d789fe487c327ee6379
Axi,A15,Radiant,c5d02f6d5af57ba8970cc06dab587b3a,Aksomati Prime Link,Uncommon,10,41e236c19ff96b7b3959ad379a875002,Oberon Prime Systems Blueprint,Uncommon,20,8281d6c1c64a8b2da5fbae64a383a835,Ivara Prime Systems Blueprint,Uncommon,20,e6b88651eb4e74d95ba2469b870d9f1a,Baza Prime Receiver,Uncommon,16.67,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,16.67,89ce412f49ed109ffe523bf084d81074,Sybaris Prime Stock,Uncommon,16.67,a4aa60d6b51a24de8bfcb9976000184b
Axi,A16,Intact,865162e0c5cc45a90af96e509a2d7741,Afuris Prime Receiver,Rare,2,4eff4c63afef4d3bedcd65cee044154f,Revenant Prime Systems Blueprint,Uncommon,11,6ebd0aff756e67d123300d0fdfede9f4,Harrow Prime Neuroptics Blueprint,Uncommon,11,b1ad4e41abba608f102acc4fa12781fa,Scourge Prime Blade,Uncommon,25.33,74a6140f2c1bb7ec7ca14c64e5e3eef5,Braton Prime Blueprint,Uncommon,25.33,2aeb605b226d5a8caaf58ef1d3d9e537,Fang Prime Handle,Uncommon,25.33,ed832f97b4cb15154ecfe434ec1b7da1
Axi,A16,Exceptional,865162e0c5cc45a90af96e509a2d7741,Afuris Prime Receiver,Rare,4,4eff4c63afef4d3bedcd65cee044154f,Revenant Prime Systems Blueprint,Uncommon,13,6ebd0aff756e67d123300d0fdfede9f4,Harrow Prime Neuroptics Blueprint,Uncommon,13,b1ad4e41abba608f102acc4fa12781fa,Scourge Prime Blade,Uncommon,23.33,74a6140f2c1bb7ec7ca14c64e5e3eef5,Braton Prime Blueprint,Uncommon,23.33,2aeb605b226d5a8caaf58ef1d3d9e537,Fang Prime Handle,Uncommon,23.33,ba3b4bd74a910dc5724b767ab87db9d0
Axi,A16,Flawless,865162e0c5cc45a90af96e509a2d7741,Afuris Prime Receiver,Rare,6,4eff4c63afef4d3bedcd65cee044154f,Revenant Prime Systems Blueprint,Uncommon,17,6ebd0aff756e67d123300d0fdfede9f4,Harrow Prime Neuroptics Blueprint,Uncommon,17,b1ad4e41abba608f102acc4fa12781fa,Scourge Prime Blade,Uncommon,20,74a6140f2c1bb7ec7ca14c64e5e3eef5,Braton Prime Blueprint,Uncommon,20,2aeb605b226d5a8caaf58ef1d3d9e537,Fang Prime Handle,Uncommon,20,2e7385859e335b926b8c3d636afd5145
Axi,A16,Radiant,865162e0c5cc45a90af96e509a2d7741,Afuris Prime Receiver,Uncommon,10,4eff4c63afef4d3bedcd65cee044154f,Revenant Prime Systems Blueprint,Uncommon,20,6ebd0aff756e67d123300d0fdfede9f4,Harrow Prime Neuroptics Blueprint,Uncommon,20,b1ad4e41abba608f102acc4fa12781fa,Scourge Prime Blade,Uncommon,16.67,74a6140f2c1bb7ec7ca14c64e5e3eef5,Braton Prime Blueprint,Uncommon,16.67,2aeb605b226d5a8caaf58ef1d3d9e537,Fang Prime Handle,Uncommon,16.67,cd06a868cd4de9f395b0dbbc4de17890
Axi,A17,Intact,865162e0c5cc45a90af96e509a2d7741,Afuris Prime Receiver,Rare,2,fac2551e31071237c99c585dbb387b2b,Orthos Prime Blueprint,Uncommon,11,6a3aa88b92dfe1b59001d8fbea791601,Shade Prime Blueprint,Uncommon,11,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,25.33,d7063421f81537f3433496e774088d8b,Wisp Prime Systems Blueprint,Uncommon,25.33,27b3d3259c2f10457bd73f830ea67069,Braton Prime Barrel,Uncommon,25.33,5ee33df126cf4abcb0e6b2b2e69bf664
Axi,A17,Exceptional,865162e0c5cc45a90af96e509a2d7741,Afuris Prime Receiver,Rare,4,fac2551e31071237c99c585dbb387b2b,Orthos Prime Blueprint,Uncommon,13,6a3aa88b92dfe1b59001d8fbea791601,Shade Prime Blueprint,Uncommon,13,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,23.33,d7063421f81537f3433496e774088d8b,Wisp Prime Systems Blueprint,Uncommon,23.33,27b3d3259c2f10457bd73f830ea67069,Braton Prime Barrel,Uncommon,23.33,6cd071cbbc3e5c13c1537703aa3a0e2b
Axi,A17,Flawless,865162e0c5cc45a90af96e509a2d7741,Afuris Prime Receiver,Rare,6,fac2551e31071237c99c585dbb387b2b,Orthos Prime Blueprint,Uncommon,17,6a3aa88b92dfe1b59001d8fbea791601,Shade Prime Blueprint,Uncommon,17,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,20,d7063421f81537f3433496e774088d8b,Wisp Prime Systems Blueprint,Uncommon,20,27b3d3259c2f10457bd73f830ea67069,Braton Prime Barrel,Uncommon,20,d24aa0ed855e477273be6653d3e29477
Axi,A17,Radiant,865162e0c5cc45a90af96e509a2d7741,Afuris Prime Receiver,Uncommon,10,fac2551e31071237c99c585dbb387b2b,Orthos Prime Blueprint,Uncommon,20,6a3aa88b92dfe1b59001d8fbea791601,Shade Prime Blueprint,Uncommon,20,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,16.67,d7063421f81537f3433496e774088d8b,Wisp Prime Systems Blueprint,Uncommon,16.67,27b3d3259c2f10457bd73f830ea67069,Braton Prime Barrel,Uncommon,16.67,2b765004608d21bb22569e735c5bab70
Axi,A18,Intact,68fdb6c5354b49b94cd4a21ba9abcc99,Acceltra Prime Stock,Rare,2,6df04cc456c68941793d2c817987114c,Akbronco Prime Link,Uncommon,11,404002009e8d05c541ee2329ec7e3138,Hildryn Prime Chassis Blueprint,Uncommon,11,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,25.33,9d8e76b94105f92d4bfedb4bc15e14fc,Paris Prime Lower Limb,Uncommon,25.33,41f2a728d69bfd5e53878b4faf76808c,Cobra & Crane Prime Hilt,Uncommon,25.33,5ffa4f7f2b8a8843e609fa2398f4113f
Axi,A18,Exceptional,68fdb6c5354b49b94cd4a21ba9abcc99,Acceltra Prime Stock,Rare,4,6df04cc456c68941793d2c817987114c,Akbronco Prime Link,Uncommon,13,404002009e8d05c541ee2329ec7e3138,Hildryn Prime Chassis Blueprint,Uncommon,13,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,23.33,9d8e76b94105f92d4bfedb4bc15e14fc,Paris Prime Lower Limb,Uncommon,23.33,41f2a728d69bfd5e53878b4faf76808c,Cobra & Crane Prime Hilt,Uncommon,23.33,a769369386926662ec07abe486e849b0
Axi,A18,Flawless,68fdb6c5354b49b94cd4a21ba9abcc99,Acceltra Prime Stock,Rare,6,6df04cc456c68941793d2c817987114c,Akbronco Prime Link,Uncommon,17,404002009e8d05c541ee2329ec7e3138,Hildryn Prime Chassis Blueprint,Uncommon,17,f1d3923651587359f9444f183330e4c2,Forma Blueprint,Uncommon,20,9d8e76b94105f92d4bfedb4bc15e14fc,Paris Prime Lower Limb,Uncommon,20,41f2a728d69bfd5e53878b4faf76808c,Cobra & Crane Prime Hilt,Uncommon,20,8f1ac746729236d56308402e6d866a64
